stack	cell	time	area	perimeter	circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	junction_not_tracable	replicate
5	1	100	109.697	39.406	0.888	14.577	976	960	107.964	10.016	1.385	0.722	0.994		3
5	1	200	119.122	40.914	0.894	15.026	977.5	956.5	107.194	10.509	1.345	0.744	0.997		3
7	1	0	109.005	42.084	0.773	14.148	1152	935	152.65	10.91	1.217	0.822	0.95		3
7	1	10	120.776	43.605	0.798	14.613	1154.5	927	149.728	11.534	1.136	0.88	0.972		3
7	1	50	130.435	44.412	0.831	14.771	1226.5	1013	73.16	12.132	1.133	0.883	0.975		3
7	1	100	136.28	45.165	0.84	14.958	1225.5	1013.5	72.943	12.295	1.117	0.895	0.987		3
7	1	200	143.826	45.939	0.856	15.498	1224	1016.5	73.972	12.784	1.07	0.934	0.988		3
8	1	0	97.445	44.304	0.624	17.109	1311.333	659.667	74.702	9.294	1.628	0.614	0.928		3
8	1	10	98.982	42.809	0.679	15.859	1311.333	651.667	73.463	10.118	1.5	0.667	0.964		3
8	1	50	113.277	44.423	0.721	17.029	1312.333	656.333	73.871	9.978	1.574	0.635	0.999		3
8	1	100	123.206	46.335	0.721	17.723	1312	655.333	73.67	10.644	1.47	0.68	0.969		3
8	1	200	126.691	46.599	0.733	17.377	1312	657.333	73.335	10.996	1.4	0.714	0.974		3
8	2	0	101.682	37.672	0.9	13.176	1519	888.5	135.333	10.236	1.135	0.881	0.994		3
8	2	10	104.475	38.132	0.903	13.163	1546	869	120.681	10.485	1.088	0.919	0.993		3
8	2	50	106.763	38.624	0.899	13.408	1519.5	886	134.018	10.395	1.126	0.888	0.989		3
8	2	100	116.223	40.141	0.906	13.573	1546	867	120.454	11.006	1.085	0.921	0.994		3
8	2	200	127.947	41.768	0.922	14.359	1516.5	886.5	138.977	11.461	1.081	0.925	1.006		3
8	3	0	68.832	31.646	0.864	11.158	1157.25	1201.5	128.595	8.791	1.197	0.835	0.96		3
8	3	10	77.024	32.929	0.893	11.683	1156	1198.25	128.411	9.251	1.148	0.871	0.997		3
8	3	50	81.296	33.935	0.887	12.119	1155.75	1196	127.92	9.33	1.157	0.864	1.001		3
8	3	100	85.85	35.11	0.875	12.357	1154.75	1195.25	127.699	9.409	1.12	0.893	0.985		3
8	3	200	90.931	35.674	0.898	12.822	1154	1193.75	127.62	10.084	1.121	0.892	0.998		3
8	4	0	82.317	38.701	0.691	14.888	541.5	1309	33.574	9.364	1.444	0.692	0.926		3
8	4	10	90.286	39.918	0.712	15.207	542.5	1313.5	34.992	9.945	1.423	0.703	0.948		3
8	4	50	94.957	40.33	0.734	15.594	538.5	1314.5	33.524	9.997	1.432	0.698	0.938		3
8	4	100	99.487	41.176	0.737	15.624	539	1313	33.69	10.266	1.409	0.71	0.947		3
8	4	200	105.613	41.95	0.754	15.971	536	1313	34.499	10.361	1.417	0.706	0.953		3
8	5	0	85.087	36.762	0.791	12.951	992.25	1700.75	160.58	10.285	1.175	0.851	0.912		3
8	5	10	99.945	37.956	0.872	12.978	987.5	1700.25	159.22	10.98	1.094	0.914	0.971		3
8	5	50	104.205	39.598	0.835	14.043	985.5	1699	159.922	10.936	1.146	0.873	0.965		3
8	5	100	110.413	39.885	0.872	14.397	984.5	1699	161.122	11.215	1.156	0.865	0.989		3
8	5	200	115.131	40.579	0.879	14.176	984.75	1698.75	159.418	11.735	1.124	0.889	0.984		3
9	3	0	70.757	35.22	0.717	14.488	1269.667	1152.667	85.568	7.869	1.658	0.603	0.942		3
9	3	10	76.414	35.573	0.759	14.583	1273.667	1150.667	86.309	7.94	1.562	0.64	0.977		3
9	3	50	84.735	37.039	0.776	15.28	1272.333	1152.667	85.799	8.249	1.609	0.622	0.994		3
9	3	100	81.519	36.801	0.756	14.898	1271.667	1151.667	84.994	8.375	1.501	0.666	0.993		3
9	3	200	81.061	37.63	0.719	15.471	1273	1153.667	82.759	8.482	1.635	0.612	0.983		3
